Student,Timezone,Grade,Subject1,Other,Evaluation1,Subject2,Other2,Evaluation2,Subject3,Other3,Evaluation3,SAT,ACT,Availability,Platform
261,ET,1st Grade,English Reading,,2,English Writing,,2,Math (up to Algebra),,2,,,"Mondays, Wednesdays, Fridays","Zoom, Google Hangouts"
262,CT,8th Grade,English Reading,,1,,,,,,,,,"Mondays, Tuesdays, Wednesdays, Thursdays, Fridays, Saturdays, Sundays","Zoom, Google Hangouts"
263,ET,5th Grade,English Reading,,2,English Writing,,2,Math (up to Algebra),,3,,,"Wednesdays, Thursdays, Fridays","Zoom, Facetime, Google Hangouts, Skype"
264,ET,2nd Grade,English Writing,,2,Math (up to Algebra),,3,English Writing,,2,,,"Tuesdays, Wednesdays, Thursdays, Fridays","Zoom, Facetime, Google Hangouts, Skype"
265,ET,Kindergarten,English Reading,,2,English Writing,,2,Math (up to Algebra),,2,,,"Mondays, Tuesdays, Wednesdays, Thursdays, Fridays","Zoom, Facetime, Google Hangouts, Skype"
266,MT,11th Grade,Math (up to Algebra),,2,Biology,,1,,,,,,"Mondays, Wednesdays, Thursdays","Zoom, Facetime, Microsoft teams"
267,ET,10th Grade,Chemistry,,3,SAT Math,,3,French,,4,"Math, Reading, Writing",,"Wednesdays, Thursdays",Zoom
268,ET,1st Grade,English Reading,,3,English Writing,,2,Math (up to Algebra),,2,,,"Mondays, Tuesdays, Wednesdays, Thursdays, Fridays, Saturdays",Zoom
269,ET,9th Grade,Math (up to Algebra),,3,Biology,,3,English Writing,,3,,,"Thursdays, Saturdays",Zoom
270,ET,1st Grade,Math (up to Algebra),,3,English Reading,,3,English Writing,,3,,,"Mondays, Tuesdays, Wednesdays, Thursdays, Fridays, Saturdays",Zoom
271,ET,7th Grade,English Writing,,2,Math (up to Algebra),,3,Biology,,3,,,"Mondays, Tuesdays, Wednesdays, Thursdays, Fridays, Saturdays, Sundays","Zoom, Google Hangouts"
272,ET,12th Grade,Calculus,,1,,,,,,,,,"Mondays, Thursdays, Sundays","Zoom, Discord"
273,ET,3rd Grade,Math (up to Algebra),,3,English Reading,,3,English Writing,,3,,,"Mondays, Tuesdays, Wednesdays, Thursdays, Fridays, Saturdays, Sundays",Zoom
274,ET,1st Grade,Math (up to Algebra),,3,English Writing,,3,English Reading,,3,,,"Mondays, Tuesdays, Wednesdays, Thursdays, Fridays, Saturdays, Sundays",Zoom
275,ET,9th Grade,Geometry,,1,French,,1,English Writing,,3,,,"Mondays, Wednesdays, Saturdays","Zoom, Facetime"
276,ET,3rd Grade,Math (up to Algebra),,2,,,,,,,,,"Mondays, Tuesdays, Saturdays, Sundays","Zoom, Facetime"
277,ET,Kindergarten,English Reading,,2,English Writing,,2,Math (up to Algebra),,3,,,"Mondays, Tuesdays","Zoom, Facetime, Google Hangouts, Skype"
278,ET,5th Grade,English Writing,,3,Math (up to Algebra),,3,,,,,,"Wednesdays, Thursdays","Zoom, Facetime, Google Hangouts, Skype"
279,ET,8th Grade,Math (up to Algebra),,3,SAT Math,,3,,,3,,,"Fridays, Wednesday & Thursday","Zoom, Facetime, Google Hangouts, Skype"
280,ET,7th Grade,Math (up to Algebra),,3,English Reading,,3,History,,2,,,"Mondays, Tuesdays, Wednesdays, Thursdays, Fridays, Saturdays, Sundays","Zoom, Google Hangouts"
281,PT,4th Grade,English Reading,,1,,,,,,,,,"Wednesdays, Saturdays",Zoom
282,MT,3rd Grade,English Reading,,1,Math (up to Algebra),,1,English Writing,,1,,,"Mondays, Tuesdays, Wednesdays, Thursdays, Fridays, Saturdays, Sundays","Zoom, Facetime, Google Hangouts"
283,ET,6th Grade,Math (up to Algebra),,3,Spanish,,2,Computer Science,,3,,,"Mondays, Tuesdays, Saturdays, Sundays","Zoom, Google Hangouts"
284,ET,5th Grade,French,,2,,,,,,,,,"Saturdays, Sundays","Zoom, Google Hangouts"
285,ET,2nd Grade,Math (up to Algebra),,4,,,,,,,,,"Mondays, Tuesdays, Wednesdays, Thursdays, Fridays, Saturdays, Sundays","Zoom, Google Hangouts"
286,CT,4th Grade,English Reading,,3,Math (up to Algebra),,1,English Writing,,1,,,"Mondays, Fridays, Sundays","Zoom, Facetime"
287,ET,11th Grade,Biology,,1,Calculus,,1,History,,1,,,"Mondays, Wednesdays, Thursdays, Saturdays","Zoom, Facetime, Google Hangouts"
288,ET,11th Grade,SAT,,3,,,,,,,Math,,"Tuesdays, Thursdays","Zoom, Google Hangouts"
289,ET,12th Grade,Chemistry,,3,,,,,,,,,Tuesdays,Zoom
290,ET,3rd Grade,Math (up to Algebra),,3,,,,,,,,,"Mondays, Thursdays, Fridays, Sundays","Zoom, Google Hangouts"
291,CT,4th Grade,English Reading,,3,English Writing,,3,Math (up to Algebra),,3,,,"Mondays, Tuesdays, Wednesdays, Thursdays, Fridays","Zoom, Facetime"
292,CT,4th Grade,Math (up to Algebra),,2,English Reading,,2,French,,1,,,"Tuesdays, Thursdays","Zoom, Facetime"
293,PT,3rd Grade,Math (up to Algebra),,1,English Writing,,2,,,,,,Wednesdays,"Zoom, Facetime"
294,ET,10th Grade,French,,2,,,,,,,,,"Mondays, Tuesdays, Wednesdays, Fridays, Saturdays, Sundays","Zoom, Facetime, Google Hangouts, Skype"
295,CT,9th Grade,Geometry,,3,Spanish,,2,ACT Math,,2,,"Math, Reading","Mondays, Wednesdays, Fridays, Saturdays","Zoom, Facetime, Google Hangouts"
296,CT,3rd Grade,Math (up to Algebra),,2,English Reading,,3,English Writing,,3,,,"Tuesdays, Thursdays",Zoom
297,ET,9th Grade,Math (up to Algebra),,1,History,,1,English Reading,,1,"Math, Reading",,"Mondays, Tuesdays, Wednesdays, Thursdays, Fridays, Saturdays, Sundays","Zoom, Facetime"
298,ET,8th Grade,Math (up to Algebra),,1,English Writing,,1,History,,1,,,Saturdays,"Zoom, Google Hangouts"
299,ET,6th Grade,English Writing,,1,English Reading,,1,Math (up to Algebra),,1,,,Saturdays,"Zoom, Google Hangouts"
300,ET,8th Grade,Math (up to Algebra),,4,English Writing,,4,,,,,,"Tuesdays, Thursdays",Zoom
301,ET,4th Grade,Math (up to Algebra),,3,History,,3,English Writing,,3,,,"Tuesdays, Thursdays",Zoom
302,ET,8th Grade,Math (up to Algebra),,1,Spanish,,1,History,,1,,,"Tuesdays, Saturdays",Zoom
303,CT,3rd Grade,English Reading,,2,Math (up to Algebra),,3,,,,,,"Mondays, Tuesdays, Wednesdays, Thursdays, Fridays, Saturdays, Sundays","Zoom, Facetime, Google Hangouts"
304,CT,6th Grade,Math (up to Algebra),,1,English Reading,,2,English Writing,,2,,,"Mondays, Tuesdays, Wednesdays, Thursdays, Fridays, Saturdays","Zoom, Google Hangouts"
305,CT,3rd Grade,English Reading,,1,Math (up to Algebra),,1,English Writing,,1,,,"Mondays, Tuesdays, Wednesdays, Thursdays, Fridays, Saturdays","Zoom, Google Hangouts"
306,CT,3rd Grade,English Reading,,1,Math (up to Algebra),,1,English Writing,,1,,,"Mondays, Tuesdays, Wednesdays, Thursdays, Fridays","Zoom, Google Hangouts"
307,CT,4th Grade,English Reading,,2,Math (up to Algebra),,3,English Writing,,2,,,"Wednesdays, Thursdays, Fridays",Zoom
308,CT,1st Grade,English Reading,,1,English Writing,,2,Math (up to Algebra),,2,,,"Wednesdays, Thursdays, Fridays",Zoom
309,ET,6th Grade,Other,Science,2,Other,Social Studies,2,,,,,,"Mondays, Tuesdays",Zoom
310,ET,8th Grade,English Reading,,1,English Writing,,1,,,,,,"Tuesdays, Thursdays","Zoom, Google Hangouts"
311,CT,3rd Grade,Math (up to Algebra),,1,English Reading,,1,English Writing,,1,,,"Tuesdays, Thursdays","Zoom, Google Hangouts"
312,CT,3rd Grade,English Reading,,2,English Writing,,2,Math (up to Algebra),,3,,,"Tuesdays, Thursdays","Zoom, Facetime"
313,CT,1st Grade,English Reading,,3,English Writing,,3,Math (up to Algebra),,3,,,"Tuesdays, Thursdays","Zoom, Facetime"
314,CT,3rd Grade,Math (up to Algebra),,3,English Writing,,3,English Reading,,3,,,"Mondays, Tuesdays, Wednesdays, Thursdays, Fridays, Saturdays",Zoom
315,CT,7th Grade,Math (up to Algebra),,1,English Reading,,1,English Writing,,1,,,"Mondays, Tuesdays, Wednesdays, Thursdays, Fridays, Saturdays",Zoom
316,CT,10th Grade,Geometry,,2,Chemistry,,2,History,,2,,,"Mondays, Tuesdays, Wednesdays, Thursdays, Fridays, Saturdays",Zoom
317,CT,3rd Grade,English Reading,,1,Math (up to Algebra),,1,English Writing,,1,,,"Tuesdays, Wednesdays, Thursdays","Zoom, Google Hangouts"
318,CT,1st Grade,English Reading,,1,Math (up to Algebra),,1,English Writing,,1,,,"Tuesdays, Wednesdays, Thursdays","Zoom, Google Hangouts"
319,ET,6th Grade,Math (up to Algebra),,2,Other,Social Studies,2,Other,Science,3,,,"Tuesdays, Thursdays","Zoom, Facetime"
320,ET,10th Grade,History,,4,Biology,,4,English Writing,,4,,,"Fridays, Saturdays, Sundays","Zoom, Facetime, Google Hangouts"
321,ET,8th Grade,Other,Science,3,Other,ELA,2,Other,Social studies,2,,,"Mondays, Tuesdays, Wednesdays, Thursdays, Fridays",Zoom
322,CT,4th Grade,English Reading,,2,English Writing,,2,Math (up to Algebra),,3,,,"Tuesdays, Thursdays","Zoom, Facetime, Skype"
323,ET,8th Grade,Other,Science,3,History,,2,Math (up to Algebra),,3,,,"Tuesdays, Thursdays","Zoom, Facetime"
324,MT,3rd Grade,English Reading,,3,English Writing,,2,,,,,,"Mondays, Tuesdays, Wednesdays, Fridays",Zoom
325,MT,8th Grade,Spanish,,2,English Reading,,2,English Writing,,2,,,"Mondays, Tuesdays, Wednesdays, Thursdays, Fridays",Zoom
